,Year,Player,Pos,G,MP,PER,Team,Notes,index,Height,Weight,Age,Draft_year,Prev_Avg_EFF,After_Avg_EFF,Ankle ,Foot,Hip ,Knee,Finger,Shoulder,Back,Achilles,Hamstring,Other,Type 
174,2015,Spencer Dinwiddie,PG,34,455,10.2,Pistons,sprained left ankle (out for season),8,198.12,90.7184,22,2014,5,9.8,1,0,0,0,0,0,0,0,0,0,Ankle
66,2012,Stephen Curry,PG,26,732,21.2,Warriors,placed on IL with sprained right ankle (out for season),5,190.5,83.91452,24,2009,19,24.9,1,0,0,0,0,0,0,0,0,0,Ankle
181,2015,Taj Gibson,PF,62,1692,16.1,Bulls,surgery on left ankle (out for season),8,205.74,102.0582,30,2009,10.4,12.33333333,1,0,0,0,0,0,0,0,0,0,Ankle
249,2016,Terrence Jones,PF,50,1044,13.5,Rockets,placed on IL (out for season),9,205.74,114.305184,24,2012,7.8,0.5,0,0,0,0,0,0,0,0,0,1,Other
57,2011,Terrence Williams,SG,21,290,6.9,Rockets,placed on IL with abdominal injury (out for season),4,198.12,99.79024,24,2009,9.4,5.2,0,0,0,0,0,0,0,0,0,1,Other
214,2015,Thabo Sefolosha,SF,52,976,13.8,Hawks,"fractured fibula, ligament damage in leg (out for season)",8,200.66,100.697424,31,2006,9.4,10.5,0,0,0,0,0,0,0,0,0,1,Other
219,2015,Travis Wear,SF,51,672,8.5,Knicks,sore lower back (out for season),8,208.28,102.0582,24,Undrafted,4,4.4,0,0,0,0,0,0,1,0,0,0,Back
13,2011,Trevor Booker,PF,65,1063,15.3,Wizards,placed on IL with sore right foot (out for season),4,203.2,108.86208,23,2010,7.7,8.5,0,1,0,0,0,0,0,0,0,0,Foot
238,2016,Tyreke Evans,SG,25,765,17.9,Pelicans,right knee injury (out for season),9,198.12,99.79024,26,2009,16,19.4,0,0,0,1,0,0,0,0,0,0,Knee
233,2016,Tyson Chandler,C,66,1618,14.7,Suns,concussion (out for season),9,215.9,108.86208,33,2001,19.4,8.15,0,0,0,0,0,0,0,0,0,1,Other
0,2010,Udonis Haslem,PF,78,2177,14.6,Heat,placed on IL with torn ligament in left foot (out for season),3,203.2,106.59412,30,Undrafted,3.2,6.4,0,1,0,0,0,0,0,0,0,0,Foot
262,2016,Victor Oladipo,SG,72,2379,16.7,Magic,placed on IL with concussion (out for season),9,193.04,95.25432,24,2013,13.2,22.5,0,0,0,0,0,0,0,0,0,1,Other
65,2012,Wilson Chandler,SF,8,215,9,Nuggets,placed on IL with groin injury (out for season),5,203.2,102.0582,25,2007,7.5,12.4,0,0,0,0,0,0,0,0,0,1,Other
27,2011,Xavier Henry,SG,38,527,7,Grizzlies,placed on IL with sprained right knee (out for season),4,198.12,99.79024,20,2010,2.9,3.3,0,0,0,1,0,0,0,0,0,0,Knee
288,2017,Zach LaVine,SG,47,1749,14.6,Timberwolves,torn ACL in left knee (out for season),10,195.58,83.91452,22,2014,9.3,20.3,0,0,0,1,0,0,0,0,0,0,Knee
90,2012,Zaza Pachulia,C,58,1640,14,Hawks,placed on IL with sprained left ankle (out for season),5,210.82,124.7378,28,2003,6.2,11.8,1,0,0,0,0,0,0,0,0,0,Ankle
,,,,,,,,,,,,,,,11.17925347,,,,,,,,,,,
,,,,,,,,,,,,,,,6.69837263,,,,,,,,,,,
